"pcp-dstat 7.1.1 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","client",,,,"User:","root"
"Cmdline:","dstat -tclmn -N eth0,eth1,total -o /home/runner/work/mptcp_net-next/mptcp_net-next/01-mptcp-perf/stats/client/dstat.csv",,,,"Date:","01 Sep 2026 09:29:48 UTC"
"system","total usage",,,,,"load avg",,,"memory usage",,,,"net/eth0",,"net/eth1",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","1m","5m","15m","used","free","buf","cach","net/eth0:recv","net/eth0:send","net/eth1:recv","net/eth1:send","net/total:recv","net/total:send"
01-09 09:29:48,,0.240,0.050,0.020,88196,4687616,0,44208,,,,,,
01-09 09:29:49,3.498,15.493,65.470,15.993,3.498,0.240,0.050,0.020,111096,4664492,0,44224,0,0,0,0,0,0
01-09 09:29:50,0.500,5.998,90.970,2.999,2.499,0.240,0.050,0.020,109696,4663216,0,46436,0,0,0,0,0,0
01-09 09:29:51,1.000,1.000,102.031,0,0.500,0.240,0.050,0.020,108856,4663576,0,47044,606513.042,18258.571,554133.062,14886.542,1160646.104,33145.112
01-09 09:29:52,2.003,0,107.140,0,0.501,0.240,0.050,0.020,110456,4661584,0,47436,1216651.730,31318.974,1216111.022,31006.565,2432762.752,62325.540
01-09 09:29:53,3.500,1.000,107.991,0,0,0.220,0.050,0.020,108780,4663000,0,47696,1218659.319,36968.885,1218587.325,36266.944,2437246.645,73235.829
01-09 09:29:54,1.500,0,108.031,0,0,0.220,0.050,0.020,105740,4665804,0,47932,1215813.353,30116.604,1213940.818,31442.983,2429754.171,61559.587
01-09 09:29:55,2.499,0.500,107.469,0.500,0,0.220,0.050,0.020,103312,4668008,0,48156,1215732.146,30099.388,1216238.001,30021.410,2431970.148,60120.798
01-09 09:29:56,2.501,0,108.037,0,0,0.220,0.050,0.020,101220,4669872,0,48384,1215618.585,30586.582,1215608.581,30742.636,2431227.166,61329.219
01-09 09:29:57,2.499,0,107.945,0,0,0.220,0.050,0.020,99112,4671752,0,48612,1214499.601,30794.269,1214581.559,30404.469,2429081.160,61198.738
01-09 09:29:58,2.501,1.000,107.033,0,0,0.200,0.050,0.020,97492,4673144,0,48840,1214677.742,30741.611,1215115.879,30663.586,2429793.622,61405.197
01-09 09:29:59,2.000,0,107.496,0,0.500,0.200,0.050,0.020,96080,4674332,0,49064,1214446.247,30028.918,1214012.263,30106.915,2428458.510,60135.833
01-09 09:30:00,2.001,0,108.034,0,0,0.200,0.050,0.020,94848,4675340,0,49288,1216781.898,29649.306,1215529.505,29883.379,2432311.403,59532.685
01-09 09:30:01,0.500,0,104.480,0,0,0.200,0.050,0.020,95024,4674944,0,49508,1212766.476,16421.811,1214206.196,16532.789,2426972.672,32954.600
01-09 09:30:02,0.999,1.498,96.860,0.999,0,0.200,0.050,0.020,97264,4672760,0,49296,721381.487,4845.977,726277.392,3407.062,1447658.879,8253.039
