"pcp-dstat 7.1.1 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","8c7c848a32f3",,,,"User:","root"
"Cmdline:","dstat -tclm -o /home/runner/work/mptcp_net-next/mptcp_net-next/01-mptcp-perf/stats/host/dstat.csv",,,,"Date:","01 Sep 2026 09:29:35 UTC"
"system","total usage",,,,,"load avg",,,"memory usage",,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","1m","5m","15m","used","free","buf","cach"
01-09 09:29:35,,3.190,3.450,2.260,980356,4413480,209592,10116060
01-09 09:29:36,8.000,22.749,67.746,0,0,3.190,3.450,2.260,978456,4414336,209596,10116468
01-09 09:29:37,10.748,11.748,73.239,1.250,0,3.190,3.450,2.260,1046380,4345692,209760,10164700
01-09 09:29:38,18.499,9.749,62.496,0,0,3.190,3.450,2.260,1228636,4163020,209760,10338752
01-09 09:29:39,46.756,19.502,26.503,0,0,3.170,3.440,2.270,1288424,4102748,209768,10398468
01-09 09:29:40,25.498,22.248,43.746,0,0,3.170,3.440,2.270,1339512,4051364,209768,10443596
01-09 09:29:41,7.750,16.251,71.003,0,0,3.170,3.440,2.270,1348068,4042544,209776,10444840
01-09 09:29:42,9.001,23.753,66.008,0,0,3.170,3.440,2.270,1366924,4023664,209788,10444848
01-09 09:29:43,16.750,9.250,67.748,0,0,3.170,3.440,2.270,1587924,3802096,209788,10656780
01-09 09:29:44,18.999,15.499,53.996,0,0,3.080,3.420,2.270,1643384,3746416,209788,10716192
01-09 09:29:45,23.748,18.749,47.247,0,0,3.080,3.420,2.270,1683472,3706108,209788,10755952
01-09 09:29:46,12.748,23.246,56.491,0,0,3.080,3.420,2.270,1710836,3678672,209796,10765532
01-09 09:29:47,12.753,24.006,52.514,2.001,0,3.080,3.420,2.270,1711056,3677968,209816,10766084
01-09 09:29:48,21.495,29.243,37.240,1.250,0,3.080,3.420,2.270,1711236,3677476,209816,10767272
01-09 09:29:49,36.502,34.002,21.001,0,0,3.070,3.410,2.270,1726012,3662356,209848,10790496
01-09 09:29:50,29.240,35.738,25.492,0,0,3.070,3.410,2.270,1739664,3648028,209852,10798448
01-09 09:29:51,23.510,27.762,37.767,0,0,3.070,3.410,2.270,1759124,3628368,209856,10822856
01-09 09:29:52,9.751,10.251,67.758,0.250,0,3.070,3.410,2.270,1757300,3629684,209856,10831048
01-09 09:29:53,6.000,4.500,79.001,0,0,3.070,3.410,2.270,1753656,3632812,209864,10835664
01-09 09:29:54,4.500,3.000,81.746,0,0,2.830,3.350,2.260,1755552,3630376,209864,10839876
01-09 09:29:55,3.750,2.750,82.753,0,0,2.830,3.350,2.260,1753780,3631660,209864,10842928
01-09 09:29:56,4.500,3.000,82.747,0,0,2.830,3.350,2.260,1753120,3631856,209864,10844796
01-09 09:29:57,3.750,2.750,82.753,0,0,2.830,3.350,2.260,1754528,3630092,209864,10846772
01-09 09:29:58,4.249,5.999,78.981,0,0,2.830,3.350,2.260,1759828,3624168,209864,10849312
01-09 09:29:59,4.251,2.751,82.771,0,0,2.600,3.300,2.250,1758912,3624588,209864,10851184
01-09 09:30:00,4.499,3.250,81.990,0,0,2.600,3.300,2.250,1763824,3619212,209864,10853200
01-09 09:30:01,4.251,3.250,83.261,0,0,2.600,3.300,2.250,1758500,3623988,209884,10855448
01-09 09:30:02,1.750,1.250,92.246,0.250,0,2.600,3.300,2.250,1755560,3626804,209884,10855588
01-09 09:30:03,6.500,13.750,74.501,0.250,0,2.600,3.300,2.250,1340096,4043008,209936,10486892
